"PAG","Precision","Center_x_coordinate","Center_y_coordinate","Canton","Municipality","Elevation","Richness_method_corr_HP","Simpson_HP","PD_HP","FD_HP","FD_sla_HP","FD_seed_mass_HP","FD_height_HP","T_HP","N_HP","R_HP","F_HP","L_HP","MV_HP","EM_HP","Cover_Poaceae_HP","Cover_Forb_HP","Cover_Cyperaceae_Juncaceae_HP","sla_HP","height_log10_HP","seed_mass_log10_HP","CSR_Stress_tolerance_HP","CSR_Disturbance_tolerance_HP","CSR_Competitive_ability_HP","Therophyte_prop_HP","Geophyte_prop_HP","Hemicryptophyte_prop_HP","Herbaceous_chamaephyte_prop_HP","Richness_method_corr_RP","Simpson_RP","PD_RP","FD_RP","FD_sla_RP","FD_seed_mass_RP","FD_height_RP","T_RP","N_RP","R_RP","F_RP","L_RP","MV_RP","EM_RP","Cover_Poaceae_RP","Cover_Forb_RP","Cover_Cyperaceae_Juncaceae_RP","sla_RP","height_log10_RP","seed_mass_log10_RP","CSR_Stress_tolerance_RP","CSR_Disturbance_tolerance_RP","CSR_Competitive_ability_RP","Therophyte_prop_RP","Geophyte_prop_RP","Hemicryptophyte_prop_RP","Herbaceous_chamaephyte_prop_RP","Distance_RP_RP","Distance_HP_RP","dSpecies_richness","dSimpson","dPD","dFD","dFD_sla","dFD_seed_mass","dFD_heigh","dTemprature","dNutrient","dUrbanization","dMoving_tolerance","dReaction","dMoisture","dLight","dCover_forb","dCover_Poaceae","dCover_Cyp_Junc","dTherophyte","dGeophyte","dHemicryptophyte","dHerbaceous_chamaephyte","dsla","dplant_heigt","dseed_mass","dCSR_Competitive_ability","dCSR_Stress_tolerance","dCSR_Disturbance_tolerance"
39,227.4307632,9.265674963,47.39050854,"AR","Herisau",726.74,20.5,0.928497844,0.244929428,0.085907742,0.08719209,0.093359607,0.07717153,3.10362101,3.162387633,2.922070922,2.989602503,3.659216743,3.634512906,2.782874481,46.17178451,53.82821549,0,26.43080092,-0.561819412,-0.245482784,0.302599345,0.328592831,0.368807824,4.226232302,0,88.64833683,7.125430867,10.15,0.660031231,0.143313099,0.061008008,0.049503581,0.067385813,0.066134631,3.271191077,3.833101213,3.18843819,3.105499935,3.791806904,3.924889848,3.101897527,73.41884939,26.58115061,0,27.39439136,-0.720107814,-0.097262785,0.172526533,0.331738437,0.49573503,0,0,90.73677426,9.263225737,0.420651282,0.725272706,-10.35,-0.268466613,-0.101616329,-0.024899734,-0.037688509,-0.025973794,-0.011036899,0.167570067,0.67071358,0.319023046,0.290376942,0.266367268,0.115897432,0.132590161,-27.24706488,27.24706488,0,-4.226232302,0,2.088437432,2.13779487,0.963590438,-0.158288401,0.148219999,0.126927207,-0.130072812,0.003145606
41,434.5366739,7.558856057,46.44820412,"BE","Adelboden",1896.74,17,0.9010648,0.279441429,0.090998835,0.11558931,0.076455194,0.080952,1.747956871,2.399349015,3.275079286,2.972316431,3.974588011,2.128398457,1.620698472,5.018539087,77.08273005,17.89873086,16.52514143,-0.946801677,-0.110396335,0.518837457,0.101380367,0.379782176,0,0,94.94368149,0.121389999,18.7,0.845264799,0.226838022,0.074972846,0.096137405,0.054266509,0.074469805,2.279781856,2.885543809,3.129926741,3.154230231,3.592573301,3.009128617,2.190957441,37.2683111,53.60735439,9.124334511,20.56582698,-0.665155983,-0.250598876,0.392801635,0.16665783,0.440540535,0.777620484,1.932593732,96.26970184,0.693642157,0.733791758,0.862984545,1.7,-0.055800001,-0.052603407,-0.016025989,-0.019451905,-0.022188685,-0.006482196,0.531824985,0.486194794,0.570258969,0.88073016,-0.145152545,0.1819138,-0.38201471,-23.47537566,32.24977202,-8.774396353,0.777620484,1.932593732,1.326020356,0.572252158,4.040685544,0.281645694,-0.140202542,0.060758359,-0.126035822,0.065277463
43,856.0505847,7.393611248,46.62713365,"BE","Boltigen",816.74,11,0.78289199,0.198247212,0.077592627,0.104759247,0.058433217,0.069585418,2.85148338,2.740758069,2.921843043,3.836653629,3.851953417,2.432211183,2.469781537,8.826304688,31.2656177,59.90807762,20.6919688,-0.713761656,-0.240005569,0.458298216,0.208368451,0.333333333,2.636731402,61.64041843,31.41356411,4.309286052,11.3,0.83615513,0.203913446,0.055882947,0.067177728,0.045085504,0.055385608,3.593456016,3.823997559,3.06739364,3.13499938,3.847852332,3.754069366,3.105059472,58.23996518,41.76003482,0,27.3171871,-0.466489062,0.031306961,0.230565514,0.301880631,0.467553854,8.398744328,4.82525118,82.8249991,3.951005397,0.658219788,0.91704464,0.3,0.05326314,0.005666234,-0.021709681,-0.037581519,-0.013347713,-0.01419981,0.741972635,1.083239489,0.635277935,1.321858183,0.145550597,-0.701654249,-0.004101085,10.49441713,49.41366049,-59.90807762,5.762012926,-56.81516725,51.41143498,-0.358280656,6.625218294,0.247272593,0.271312529,0.134220521,-0.227732702,0.093512181
44,2729.82277,8.005858444,46.77217961,"BE","Brienz",1716.74,45,0.962413464,0.281809606,0.094509269,0.106963452,0.095602487,0.082976064,2.33273313,2.490583663,3.441878672,2.788953851,3.827717936,2.591556213,2.182642425,14.1132762,67.23227007,18.65445373,19.51204495,-0.746003034,-0.074896126,0.401162654,0.158563925,0.440273421,1.021060196,4.034173548,90.61229794,4.332468319,20.1,0.835485247,0.231635685,0.089335717,0.097980176,0.080033446,0.089984711,2.648762735,2.584843255,2.937745415,2.764179456,3.720109232,2.546586258,2.446503113,22.89861033,47.29564708,29.80574259,19.10029681,-0.684545297,-0.238385031,0.416827441,0.177588252,0.405584307,1.599556451,1.930242801,89.2041609,1.70933766,0.840502903,0.78802369,-24.9,-0.126928217,-0.050173921,-0.005173552,-0.008983276,-0.015569041,0.007008647,0.316029606,0.094259593,0.263860687,-0.044969955,-0.504133257,-0.024774395,-0.107608704,-19.93662299,8.785334132,11.15128886,0.578496254,-2.103930747,-1.408137042,-2.623130659,-0.41174814,0.061457737,-0.163488905,-0.034689114,0.015664787,0.019024328
45,741.788201,7.201420559,47.13970218,"BE","Evilars",996.74,28.16666667,0.949872156,0.274949202,0.072832401,0.069960855,0.07356468,0.074999571,3.187880259,2.241669962,3.346081552,2.371335321,3.842154087,2.538395077,2.369830611,27.59751036,65.93431668,6.46817296,20.38862534,-0.755017488,0.013151475,0.402476469,0.20618964,0.391333891,1.030440857,2.072360025,85.519359,7.331147166,14.4,0.696276341,0.17724688,0.060375725,0.063843126,0.054727648,0.062556401,3.450183341,3.403953432,2.936804982,2.951101295,3.838952762,3.747777719,2.896628521,59.14589039,40.85410961,0,25.08436612,-0.558984032,-0.147542003,0.291766009,0.326041411,0.38219258,2.844325232,0,95.07750349,2.074335456,0.810406992,0.932839555,-13.76666667,-0.253595815,-0.097702322,-0.012456676,-0.00611773,-0.018837032,-0.01244317,0.262303082,1.162283471,0.52679791,1.209382641,-0.40927657,0.579765974,-0.003201325,-25.08020707,31.54838003,-6.46817296,1.813884375,-2.072360025,9.558144484,-5.25681171,4.695740782,0.196033456,-0.160693479,-0.009141311,-0.11071046,0.119851771
52,224.0269484,7.623665064,47.27269952,"BE","Farnern",941.74,28,0.920505878,0.266610313,0.083544777,0.099011853,0.091244772,0.060377705,3.178179279,3.27165758,2.923380713,2.883968902,3.732316775,3.539490407,2.84240163,25.95820279,74.04179721,0,27.15666703,-0.540491391,-0.227142749,0.297419701,0.30073722,0.401843079,1.982044865,0.161561666,85.98400288,11.87239059,9.9,0.783235055,0.138830297,0.049655474,0.06502363,0.035520267,0.048422525,3.438495749,3.621562184,3.011914924,2.981464971,3.978150472,3.774499524,2.99158786,75.17528793,24.82471207,0,25.12287945,-0.429417851,-0.068956611,0.330646139,0.299921152,0.369432709,0.442477876,0.456621005,98.41330243,0.687598686,0.552460495,0.885540667,-18.1,-0.137270823,-0.127780017,-0.033889303,-0.033988224,-0.055724505,-0.011955181,0.260316469,0.349904604,0.149186229,0.235009117,0.088534211,0.097496069,0.245833696,-49.21708515,49.21708515,0,-1.539566988,0.295059338,12.42929955,-11.1847919,-2.033787577,0.111073541,0.158186138,-0.03241037,0.033226438,-0.000816068
53,310.3243434,8.022184618,46.8587975,"LU","Flühli",1016.74,20,0.892508004,0.275454546,0.078316764,0.107010475,0.053834759,0.072586946,2.591296797,2.08379915,2.433016985,3.653260663,3.809652164,2.068404881,2.299295915,31.85844268,43.47919241,24.66236492,17.8548457,-0.718770393,-0.292739253,0.540962837,0.118265812,0.340771351,0,11.17373579,88.82626421,0,14.3,0.862232073,0.201980634,0.070644349,0.06547178,0.067534461,0.07647889,3.21918638,3.383606738,3.015587527,3.244847594,3.749549957,3.45005712,2.865121633,60.67030496,27.26747695,12.06221809,24.95133464,-0.479348779,-0.084696953,0.312020357,0.279540647,0.408438996,1.794777266,9.768160957,83.89153395,4.545527827,0.626090443,0.959595843,-5.7,-0.030275931,-0.073473912,-0.007672415,-0.041538695,0.013699702,0.003891944,0.627889583,1.299807589,0.565825718,1.381652238,0.582570542,-0.408413069,-0.060102207,-16.21171546,28.81186229,-12.60014683,1.794777266,-1.405574837,-4.934730256,4.545527827,7.096488945,0.239421615,0.208042299,0.067667645,-0.22894248,0.161274835
54,145.220791,8.425984887,46.7300427,"BE","Gadmen",1864.74,10,0.82716858,0.192320283,0.075089059,0.080746384,0.069940089,0.074580704,1.997593886,2.71210333,2.798330484,2.911114979,3.514753343,3.162147051,1.873414912,62.6771925,37.3228075,0,21.33356906,-0.791484508,-0.288496769,0.329221467,0.151169673,0.519608859,0.616779889,0,98.95544282,0.427777288,10.56666667,0.604510283,0.160111885,0.067190174,0.060035574,0.075956099,0.066068251,2.312986178,2.088163286,1.837457608,3.046411905,2.998509723,1.666115937,1.967278853,31.68796843,63.26152652,5.050505051,14.88841275,-0.560381109,-0.514017814,0.429146533,0.05344964,0.517403828,0.870197422,1.165501166,49.76713873,0.310655483,0.878011589,0.949205589,0.566666667,-0.222658297,-0.032208398,-0.007898885,-0.020710811,0.00601601,-0.008512453,0.315392292,-0.623940043,0.093863942,-1.496031115,-0.960872876,0.135296926,-0.51624362,25.93871902,-30.98922407,5.050505051,0.253417533,1.165501166,-49.18830409,-0.117121805,-6.445156306,0.2311034,-0.225521045,-0.002205031,0.099925065,-0.097720034
55,248.690237,8.306666135,46.61190938,"BE","Guttannen",1413.74,17,0.88750619,0.220140352,0.089810099,0.11022338,0.083542113,0.075664804,2.794823929,2.777605103,2.840724428,2.794236591,3.55503979,3.332226911,2.415644826,58.64747862,41.35252138,0,23.99020922,-0.535527381,-0.358480209,0.33226851,0.271991787,0.395739703,3.96075528,0,92.17086986,3.548927911,12.15,0.739324337,0.19631975,0.088443107,0.113334679,0.088873226,0.063121417,2.643988805,2.25688271,2.376476195,2.80793515,3.370117552,2.863416843,2.319562675,57.35960529,41.00995993,1.630434783,20.89879991,-0.661799882,-0.279466104,0.4210967,0.184719035,0.394184266,1.032913165,1.485824878,80.67465004,7.878040484,0.769140134,0.668024412,-4.85,-0.148181853,-0.023820603,-0.001366992,0.003111299,0.005331113,-0.012543387,-0.150835124,-0.520722393,-0.096082151,-0.468810068,-0.464248233,0.01369856,-0.184922238,-0.342561449,-1.287873333,1.630434783,-2.927842115,1.485824878,-11.49621982,4.329112574,-3.091409312,-0.126272502,0.079014105,-0.001555437,0.088828189,-0.087272752
56,443.532974,8.288134954,46.6521267,"BE","Guttannen",1056.74,17,0.842380139,0.223881961,0.09039642,0.110706748,0.098068897,0.062413615,3.07026478,3.073107827,2.640976947,2.873463001,3.398710316,3.605131077,2.581164823,54.69375571,45.30624429,0,28.8046089,-0.515752147,-0.529070712,0.322050256,0.286876903,0.391072842,2.558402929,1.236903646,84.40242729,11.80226614,14.7,0.838131505,0.241379041,0.072923514,0.083368588,0.066080775,0.069321179,3.067404521,3.54050537,3.025295946,3.116744238,3.688802334,3.75480628,2.870911165,32.24507189,67.75492811,0,25.88162902,-0.439973839,-0.01801819,0.285302378,0.290276183,0.424421439,1.837656489,1.555629121,93.15009986,3.45661453,0.69283283,0.806106517,-2.3,-0.004248634,0.01749708,-0.017472906,-0.02733816,-0.031988122,0.006907564,-0.002860259,0.467397543,0.289746342,0.149675203,0.384318999,0.243281238,0.290092018,22.44868382,-22.44868382,0,-0.72074644,0.318725475,8.747672572,-8.345651607,-2.922979875,0.075778308,0.511052521,0.033348597,-0.036747878,0.00339928
57,172.9513539,7.539488559,47.02912818,"BE","Hindelbank",581.74,14,0.881790414,0.162789115,0.060153692,0.051472469,0.061545788,0.067442819,3.459600842,3.682990458,3.043799935,3.037817247,3.918671188,3.942474263,3.193914103,68.22045931,31.77954069,0,25.35424464,-0.438868068,-0.014140826,0.259820551,0.334180722,0.405998727,11.63528988,0,83.05856716,5.306142961,6.233333333,0.698638558,0.181074797,0.071149329,0.066664354,0.06394003,0.082843603,3.431908369,4,3.233766234,3.097763348,3.968253968,3.886724387,3.352633478,61.27344877,38.72655123,0,27.90990513,-0.57040755,-0.007035252,0.219035594,0.265993266,0.51497114,0,20.2020202,68.76803752,11.02994228,0.453463203,0.744568897,-7.766666667,-0.183151856,0.018285682,0.010995637,0.015191885,0.002394243,0.015400784,-0.027692472,0.317009542,0.158719374,-0.055749876,0.189966298,0.059946101,0.049582781,6.947010532,-6.947010532,0,-11.63528988,20.2020202,-14.29052964,5.723799318,2.555660495,-0.131539482,0.007105574,0.108972413,-0.040784957,-0.068187456
63,446.7082612,7.675515879,47.27168245,"BE","Niederbipp",541.74,30,0.921781931,0.263347659,0.076881811,0.054705208,0.10321036,0.072729866,3.58968246,2.286333486,3.783644356,2.23696538,3.855172722,2.792592145,2.765287351,15.13606875,75.56748258,9.29644867,19.98855928,-0.60620624,0.456753459,0.367995454,0.155403989,0.476600557,2.714806802,3.205347176,87.61164023,6.468205796,13.9,0.759303381,0.172152187,0.065255196,0.066884155,0.052787537,0.076093895,3.520590149,3.505584467,3.059135926,2.9671696,3.84803115,3.743695136,2.950833384,58.67304025,41.32695975,0,24.87611073,-0.474501548,-0.004276338,0.274973646,0.324786341,0.400240012,5.35293537,1.795012716,91.62002935,1.23202256,0.735153883,0.920305839,-16.1,-0.16247855,-0.091195472,-0.011626615,0.012178948,-0.050422823,0.003364029,-0.069092311,1.219250981,0.185546033,0.951102991,-0.72450843,0.73020422,-0.007141572,-34.24052284,43.53697151,-9.29644867,2.638128567,-1.41033446,4.008389128,-5.236183236,4.887551447,0.131704692,-0.461029797,-0.076360545,-0.093021808,0.169382352
64,229.1992632,7.697229041,47.26332637,"BE","Niederbipp",456.74,28,0.919569883,0.255276851,0.075017786,0.080274576,0.071999001,0.072779781,3.147432188,3.093515512,3.140263985,2.840844494,3.885395407,3.348766471,2.831365027,30.31755668,66.54591725,3.136526072,25.27084259,-0.590421743,-0.082316375,0.341065933,0.313075562,0.345858505,4.896417956,0,89.96381796,5.139764086,7.65,0.673860167,0.131427318,0.077378854,0.080098419,0.084751485,0.067286659,3.221294656,3.551398897,3.273788147,3.274617671,3.77805958,3.991587213,2.916372956,75.13029999,24.86970001,0,25.35955943,-0.573275583,-0.363689828,0.239858717,0.333380071,0.426761212,0.014021312,0,99.22188604,0.764092651,0.623730377,0.88114184,-20.35,-0.245709716,-0.123849533,0.002361068,-0.000176157,0.012752484,-0.005493122,0.073862469,0.457883385,0.085007929,0.642820741,0.133524162,0.433773178,-0.107335827,-41.67621724,44.81274331,-3.136526072,-4.882396643,0,9.258068079,-4.375671435,0.088716832,0.01714616,-0.281373453,0.080902707,-0.101207216,0.020304509
