pag,time,precision,species_richness,phylogenetic_diversity,functional_diversity,funct_div_spec_leaf_area,funct_div_seed_mass,funct_div_height,temperature,nutrient,reaction,moisture,light,moving_tolerance,urbanization,cover_poaceae,cover_forb,cover_cyp_junc,csr_stress_tolerance,csr_disturbance_tolerance,csr_competitive_ability,design_weight,X,Y
55,2,248.690237,17,0.220140352,0.089810099,0.11022338,0.083542113,0.075664804,2.794823929,2.777605103,2.840724428,2.794236591,3.55503979,3.332226911,2.415644826,58.64747862,41.35252138,0,0.33226851,0.271991787,0.395739703,1,2666495.54838822,1162662.04867773
56,2,443.532974,17,0.223881961,0.09039642,0.110706748,0.098068897,0.062413615,3.07026478,3.073107827,2.640976947,2.873463001,3.398710316,3.605131077,2.581164823,54.69375571,45.30624429,0,0.322050256,0.286876903,0.391072842,1,2665027.63104191,1167117.06203476
57,2,172.9513539,14,0.162789115,0.060153692,0.051472469,0.061545788,0.067442819,3.459600842,3.682990458,3.043799935,3.037817247,3.918671188,3.942474263,3.193914103,68.22045931,31.77954069,0,0.259820551,0.334180722,0.405998727,1,2607666.71461958,1208681.26791539
63,2,446.7082612,30,0.263347659,0.076881811,0.054705208,0.10321036,0.072729866,3.58968246,2.286333486,3.783644356,2.23696538,3.855172722,2.792592145,2.765287351,15.13606875,75.56748258,9.29644867,0.367995454,0.155403989,0.476600557,1,2617925.70222295,1235669.35559486
64,2,229.1992632,28,0.255276851,0.075017786,0.080274576,0.071999001000000007,0.072779781,3.147432188,3.093515512,3.140263985,2.840844494,3.885395407,3.348766471,2.831365027,30.31755668,66.54591725,3.136526072,0.341065933,0.313075562,0.345858505,1,2619571.81162909,1234745.51518057
68,2,446.2351103,30,0.216642309,0.091824994,0.086712242,0.088010716,0.100752026,3.365033992,3.390434934,3.341822601,2.793670114,3.622780038,3.561096011,3.1426947690000002,55.45775731,44.54224269,0,0.318792383,0.295267371,0.385940247,1,2620101.94605318,1235740.07713642
73,2,272.5600959,24,0.253768097,0.083626764,0.084127725,0.081476261,0.085276306,3.124699133,3.384855791,3.118025686,3.180163172,3.673107211,3.721720983,2.915496849,40.67318787,55.79091451,3.535897616,0.312884847,0.327666711,0.359448442,1,2632042.09832519,1185267.92924896
74,2,159.0863803,20,0.258025024,0.069127103,0.08359812,0.069064775,0.054718414,3.078053337,3.760070077,3.210805564,3.249088982,3.642390406,3.901368394,3.173256195,16.84967182,83.15032818,0,0.277646641,0.37282479,0.349528569,1,2633830.86482041,1185131.83244181
75,2,339.2124024,21,0.225644882,0.070515953,0.079272324,0.053477922,0.078797613,3.257720357,3.237710268,3.001009257,3.120854662,3.220761802,3.802835926,2.788595275,54.46297393,45.53702607,0,0.305231957,0.28790544,0.406862603,1,2620931.04612182,1178963.43858266
76,2,348.7306607,18.5,0.223014132,0.058685643,0.074628794,0.046724467,0.054703668,3.335844958,3.672099245,3.094744426,3.213841054,3.804350663,3.799154154,3.043355784,46.87101227,53.12898773,0,0.280973108,0.256870664,0.462156228,1,2621496.37323641,1180631.11799066
78,2,396.0103897,24,0.25264507,0.085982748,0.106445117,0.100733674,0.050769451,3.130069317,3.238027596,3.022990514,3.215179223,3.429887406,3.521832718,2.688823945,42.60476641,57.39523359,0,0.326921881,0.27365593,0.399422189,1,2620337.37368351,1178551.81988385
79,2,586.9513955,20,0.247670086,0.073376063,0.081393705,0.070682212,0.068052273,3.408063811,3.760769883,3.027365901,3.080462693,3.727075977,3.871644016,2.823169769,42.34829355,57.65170645,0,0.297620529,0.239626092,0.462753379,1,2620985.77344831,1179927.14038561
80,2,275.1079065,6.5,0.189942227,0.086320534,0.067474314,0.115682724,0.075804564,2.730421244,1.320329815,1.161913471,4.165667748,3.849446619,1.399625528,1.925351702,8.075893103,36.16872872,55.75537818,0.680728085,0.032035552,0.287236362,1,2622676.75490562,1183172.78022894
82,2,544.0846551,14,0.224097556,0.054608988,0.063028586,0.052828605,0.047969773,3.698239955,3.697102678,3.232989522,2.809100234,3.964216538,3.794820104,2.958156985,47.01325789,52.98674211,0,0.31154454,0.2967771,0.39167836,1,2609938.24817001,1219191.74310816
83,2,666.9420492,13,0.165751981,0.038733632,0.0514341,0.040230581,0.024536214,3.540499596,3.719050822,3.010350099,3.001907116,3.987315635,3.704354783,3.061923681,70.24814948,29.75185052,0,0.333333333,0.271086524,0.395580143,1,2609992.99415053,1220052.38207729
84,2,472.0029135,9,0.104279829,0.02883783,0.032938157,0.028128072,0.02544726,3.69612086,3.585750423,3.052696573,2.977133376,3.973780529,3.945760895,2.966599713,84.79381754,15.20618246,0,0.333333333,0.326285262,0.340381405,1,2609862.4461208,1218531.89839574
85,2,536.9877108,16,0.174289269,0.067149827,0.087326818,0.063396934,0.050725729,3.379789352,3.476759707,3.149103911,3.056489732,3.788526877,3.770148421,2.963099845,69.70166225,30.29833775,0,0.318237023,0.338193527,0.34356945,1,2609902.36835756,1219059.45914092
86,2,225.6614465,17.5,0.180056977,0.047830829,0.0415337,0.045141254,0.056817535,3.489888989,3.607701487,3.093704141,3.103423114,3.959834217,3.911124188,3.050618514,60.05822533,39.94177467,0,0.247306141,0.310152292,0.442541567,1,2608851.51825863,1219342.44748744
89,2,2369.193841,18,0.197211574,0.083133394,0.071061561,0.08307757,0.09526105,3.558021599,3.637648219,3.185788936,3.042928858,3.569681686,3.79584304,3.078737875,61.55623292,38.44376708,0,0.248370466,0.350140628,0.401488905,1,2609546.37372405,1218187.37816586
90,2,610.485699,23,0.185837124,0.072748405,0.07707185,0.07701013,0.064163235,3.649890819,3.054852071,3.429541854,2.628132675,3.771526465,3.373142989,2.654055532,65.56048343,34.27626457,0.163251994,0.325097464,0.221833069,0.453069467,1,2616250.24258439,1232392.07209428
93,2,385.0700642,22,0.257086275,0.087836349,0.086181312,0.086983606,0.09034413,3.330649891,3.665389882,3.104235817,3.040711647,3.414724279,3.71805553,2.935661463,34.90390732,65.09609268,0,0.254390721,0.317167345,0.428441934,1,2630630.39647348,1251496.81521494
94,2,273.0518544,23,0.25792893,0.076806094,0.062813877,0.076359304,0.091245102,3.444776092,2.472036524,3.628487922,2.893412333,3.857057094,2.736326493,2.473590922,25.5376469,57.52111448,16.94123862,0.433166612,0.194681083,0.372152305,1,2624521.63322647,1251790.93697185
95,2,472.5086224,28,0.373182967,0.0900001,0.09715194,0.080000529,0.082866449,3.132331468,2.627540815,3.380945949,3.603487468,3.756664918,2.80910016,2.496025229,10.97240254,58.53067739,30.49692006,0.439717127,0.197970372,0.362312502,1,2624483.81072638,1254298.44304697
96,2,1216.521988,23.33333333,0.252031191,0.078850441,0.090675456,0.065358745,0.078578428,3.216987959,2.533445077,3.266269481,3.515632828,3.627723022,2.77425405,2.40889718,15.5317494,53.76596614,30.70228446,0.453938056,0.199239816,0.346822128,1,2624597.99834545,1253608.58267893
99,2,437.8321867,21,0.239502126,0.074746455,0.051037649,0.081037994,0.092163722,3.501835058,2.367034534,3.637774498,2.27063063,3.84922816,2.672172482,2.490989147,38.66460373,38.82847057,22.5069257,0.400880606,0.127806645,0.471312749,1,2625508.34612999,1251749.38311387
100,2,442.0812368,18,0.222529349,0.061015197,0.087057257,0.056288941,0.039699392,3.400604493,3.466307111,3.066164307,2.968872254,3.953714082,3.622032634,3.113769453,44.02243801,55.97756199,0,0.331807472,0.327498246,0.340694282,1,2618435.30589835,1249708.89267532
101,2,201.5533532,17,0.247713021,0.074048119,0.09959429,0.066385046,0.056165021,3.239026361,3.242920786,3.094219597,2.890470033,3.784338664,3.735820848,2.985115591,16.52197353,83.47802647,0,0.322002336,0.306004255,0.371993409,1,2619505.85780555,1248233.95692055
102,2,269.1567729,15.5,0.198449834,0.057583999,0.05036466,0.063913256,0.058474081,3.41016796,3.58660946,3.138883634,3.055280258,3.876701275,3.833934638,3.157480196,52.23845311,47.76154689,0,0.257833488,0.332741594,0.409424918,1,2632832.29782849,1253473.23459789
105,2,295.9942754,30,0.272843976,0.090922538,0.070847799,0.095961519,0.103483256,1.409514352,2.55980551,2.603285598,3.394648381,4.187195206,2.519043019,1.444200827,8.903107311,89.79423539,1.302657302,0.507489911,0.074921707,0.417588382,1,2713981.46055925,1189361.37312675
106,2,184.5585109,9,0.227738878,0.082256803,0.120354561,0.045228848,0.081186999,2.016675045,3.741800945,2.943424744,3.28569024,4.09558044,3.699494212,2.023043867,40.91261773,59.08738227,0,0.333333333,0.140556948,0.526109718,1,2713543.18957289,1188443.02997824
107,2,289.261368,37,0.317635086,0.08661208,0.091921013,0.074728037,0.089162365,1.811282814,2.683448766,3.11917053,3.055252206,3.866270105,2.740332403,1.817832587,17.12828507,81.77535912,1.09635581,0.424667322,0.106834952,0.468497726,1,2714269.08146366,1188922.91801036
108,2,536.9306754,29,0.281659736,0.083781214,0.082555149,0.103240989,0.066489478,2.139456257,2.118683748,3.108593708,2.510565931,3.911068125,2.314812445,2.074261549,16.18274156,71.84958334,11.9676751,0.448331741,0.147607386,0.404060872,1,2771179.05464461,1184951.99359406
109,2,121.0471347,14,0.196256984,0.065129458,0.057232504,0.063102551,0.075053321,2.66495379,3.573441895,3.127811509,3.075884927,3.772799642,3.63425074,2.509837044,63.08019282,36.91980718,0,0.315146725,0.234840126,0.450013149,1,2759120.85169426,1148773.29604249
110,2,294.8425384,10,0.243038617,0.077236816,0.10578242,0.083733239,0.042194789,2.781792988,3.807308144,3.173676597,3.140559486,3.542000287,3.828434497,2.860658449,36.92372059,63.07627941,0,0.340754979,0.201377463,0.457867558,1,2760045.93990152,1148582.00137073
112,2,618.2894611,41,0.277245469,0.121472271,0.088394775,0.16443781699999999,0.111584221,2.03034673,2.133702316,2.476355332,2.71782136,3.622875921,2.270017303,1.995279574,8.442914735,86.08816821,5.468917058,0.448379524,0.120161714,0.431458762,1,2777136.78643373,1162259.09091196
113,2,524.502835,12,0.229830588,0.06919152,0.08311831,0.074130804,0.050325444,2.052233506,3.276423041,2.518080547,3.372738394,3.739871017,3.632298042,2.219741946,24.54906368,75.45093632,0,0.324904969,0.137248403,0.537846628,1,2774880.00729305,1149052.34070421
117,2,14.17347664,35,0.3163798,0.092728288,0.08456499,0.102380664,0.0928051,2.015628253,2.166794538,2.82248741,2.800970792,3.7576018,2.393852812,1.951172747,11.65141556,80.01929236,8.329292081,0.515224138,0.077870245,0.406905617,1,2764049.07460242,1192521.98134224
119,2,819.9713832,18,0.273255765,0.08175053,0.080199354,0.09322825,0.071823986,1.972100627,2.014081345,3.387895224,2.164658972,4.252427258,2.249152885,1.8545923,30.21691396,62.05937645,7.723709587,0.434119531,0.141885851,0.423994617,1,2764813.90471885,1192714.66914849
120,2,375.8536857,38,0.310357781,0.093885146,0.105818527,0.097560631,0.082327451,1.892926553,2.591625323,3.486734456,3.130672328,3.870866027,2.541158692,1.758030674,19.8100428,74.15662132,6.033335878,0.449933673,0.091126802,0.458939526,1,2759472.79935806,1149504.68516054
121,2,578.1733858,15,0.253062869,0.088998428,0.096689448,0.076170478,0.094135358,2.545486582,2.67797711,2.752578437,2.944556671,3.537891782,3.368198121,2.331565633,39.34280394,60.65719606,0,0.325522856,0.251028871,0.423448273,1,2754345.98530425,1185235.303754
122,2,145.2768893,20,0.248081752,0.0775623,0.087155751,0.06501123,0.077519539,1.221916105,2.336810949,2.863735691,2.945337474,4.559214401,2.52857696,1.331145215,43.51878947,54.98311816,1.498092367,0.459331006,0.174833936,0.365835058,1,2767333.53922719,1193702.54118751
123,2,354.4883909,37.25,0.282855516,0.105310945,0.122225,0.110035298,0.083704405,3.35302912,2.658485792,3.462767234,2.610698034,3.431639786,2.973232058,2.522817821,23.28073419,68.36141018,8.35785563,0.358742319,0.233725525,0.407532156,1,2763582.99157762,1202469.17883226
129,2,1332.934777,25,0.243830722,0.071260918,0.060502992,0.075510169,0.077769593,3.438185831,2.527900808,3.660829972,2.409234034,3.673629605,2.70077717,2.444894489,46.24800425,44.82788993,8.924105812,0.362360962,0.209821389,0.427817649,1,2762870.27608204,1203768.88564853
130,2,683.3255817,23,0.24702468,0.086750808,0.077897889,0.113265458,0.068725788,1.819980145,2.102734025,3.714032121,2.343753932,3.533698744,2.143795192,1.737877775,14.27380479,77.9177884,7.808406812,0.409438647,0.050426151,0.540135202,1,2774558.95211952,1190430.36716513
131,2,348,23,0.264127331,0.07681759,0.087680147,0.074398104,0.068374518,3.160224212,2.929768902,3.305939209,2.670842919,3.846626133,3.312568496,2.93281026,22.43735589,74.32667472,3.23596939,0.334888801,0.32491501,0.340196189,1,2721654.65923004,1210793.3368004
132,2,1594.437319,27,0.249081961,0.136736349,0.174409025,0.104512711,0.131287311,3.355681789,2.788395038,3.608894409,3.136008718,2.807287744,2.340938413,2.294508041,22.14991557,63.12913171,14.72095272,0.345871717,0.233731242,0.420397041,1,2759935.76661313,1203217.88723101
133,2,1575.375723,22,0.291983167,0.127175633,0.164625876,0.124220827,0.092680196,3.396536551,3.685423191,3.489709223,3.312716519,2.808987813,2.788783297,2.712450038,11.23341539,88.76658461,0,0.307847117,0.313425397,0.378727485,1,2759910.35575078,1203194.2758143
138,2,1008.724942,11.5,0.248844038,0.095554999,0.107892793,0.08331767,0.095454535,1.918052175,2.377934926,2.366291416,2.730148184,3.718498858,2.85202351,2.055960663,40.13655134,56.54967805,3.313770607,0.372312451,0.224287069,0.40340048,1,2794133.00029978,1147219.37858294
140,2,510.232977,22.66666667,0.294709836,0.08196419,0.085557925,0.083774758,0.076436348,2.107832243,2.122686251,3.076567564,2.563039449,3.949916193,2.397183597,2.224744041,16.7156903,64.54378301,18.7405267,0.53039199,0.116856934,0.352751076,1,2795561.59090334,1147089.09620811
143,2,240.9750433,12,0.252609134,0.095444159,0.091650034,0.096888984,0.09779346,1.648175552,2.140239891,2.206985261,2.760720543,4.326176312,2.526137933,1.727531071,27.66273601,50.53788576,21.79937823,0.470607154,0.038295493,0.491097353,1,2798762.9143603,1143683.6139828
144,2,361.4768783,16,0.315165384,0.105249711,0.117044581,0.08252926,0.114426564,2.307074459,2.829913628,3.036062955,3.051860574,3.595932436,3.209066887,2.137047493,26.82628978,72.21444016,0.959270063,0.433672777,0.216246649,0.350080574,1,2799534.68818454,1139483.0755142
146,2,1135.277903,21,0.268226172,0.0873223,0.071397284,0.106237582,0.079578791,1.802276297,2.065898481,2.369184532,2.787785613,3.959641828,2.344861084,2.046534943,23.23014165,71.72444345,5.0454149,0.493513218,0.099697042,0.40678974,1,2759731.4488241,1158135.22243838
147,2,490.2539466,15,0.248168563,0.081765199,0.05563568,0.151645255,0.03801466,1.6846717,2,1.920695917,2.359818507,3.910608406,2.27563564,1.925117322,10.14870632,79.09025346,10.76104022,0.597148205,0.074428762,0.328423033,1,2789118.96828046,1154911.78315628
148,2,901.2878653,23,0.21130279799999999,0.070360351,0.061418674,0.085540283,0.062074528,3.391356686,2.824579015,3.730282807,2.520242861,3.303808278,2.528869393,2.322146002,65.03447731,26.69321341,8.272309276,0.339601749,0.146867069,0.513531181,1,2752270.76573732,1211667.68370456
152,2,318.6330129,47,0.265054182,0.097808159,0.097119344,0.113975736,0.082655529,2.670481477,2.37823581,3.416987369,2.470427906,3.788084457,2.468713302,2.216323011,9.419361787,80.31747734,10.26316087,0.378056366,0.22434267,0.397600964,1,2764626.64641321,1195767.21733257
153,2,351.6702248,21.5,0.277797201,0.112059522,0.168635764,0.088235056,0.088006559,2.535718406,2.616611923,2.812650118,2.996141071,3.126785585,2.718573926,2.212631382,11.46551807,86.62091027,1.913571654,0.375735965,0.212267074,0.411996961,1,2764496.55860281,1196142.32332146
156,2,1260.553294,10,0.23039971,0.057822538,0.060508783,0.080568454,0.032390376,3.370079184,3.120060413,3.23448307,2.512007895,3.726645489,3.444835151,3.441083001,11.88601104,88.11398896,0,0.205205371,0.514394722,0.280399907,1,2770371.71299618,1204751.73682789
157,2,328.1605112,25,0.274752223,0.110733044,0.084441809,0.118669449,0.129087872,2.819996938,2.59671837,3.726435226,2.640081593,3.86408691,2.989566735,2.325549118,31.72026534,68.27973466,0,0.451965944,0.203935175,0.344098882,1,2820586.08705314,1178109.35700106
158,2,281.2886069,17,0.278419487,0.079122157,0.090363994,0.084041274,0.062961204,3.127297263,2.934909615,3.459932283,2.563140163,3.859030753,3.064694571,2.870490636,18.87998488,81.12001512,0,0.399161721,0.264655843,0.336182436,1,2821000.60190999,1177986.7468456
159,2,267.4571828,16,0.249793088,0.067434033,0.071341169,0.077533281,0.053427649,3.125879994,3.640942877,3.135398588,2.991667004,3.809919169,3.54828035,2.905956871,46.32304438,53.67695562,0,0.326876498,0.274194801,0.3989287,1,2821533.55960857,1178166.01430294
160,2,271.3407255,26,0.276014745,0.099185573,0.087799437,0.096959535,0.112797748,2.927748747,2.959438344,3.389809735,2.80765703,3.710014224,3.12446783,2.581363419,33.54741,66.45259,0,0.342662499,0.264934126,0.392403375,1,2820251.08718035,1178249.96223168
161,2,184.7116505,12,0.25560732,0.074998614,0.086561515,0.086106769,0.052327557,3.305924214,3.343068308,3.349019053,2.6518046,3.841729567,3.488791003,2.890637535,39.52099081,60.47900919,0,0.344351008,0.310791722,0.34485727,1,2821548.16282361,1177895.11296943
162,2,429.0947256,29,0.273763702,0.082818321,0.095442683,0.08283289,0.069367458,2.249369803,2.561749439,3.126091085,2.839297861,3.725393702,2.71390443,2.143997745,7.227552269,84.44891254,8.323535193,0.397678922,0.1299735,0.472347577,1,2783533.72838204,1207668.24494025
163,2,537.3292812,26.5,0.274828474,0.086686117,0.090627369,0.078883731,0.087065484,2.303280248,2.338115944,2.811179265,2.897540715,3.695417677,2.471517329,2.056068658,13.26031157,77.91812321,8.821565219,0.448754489,0.131348584,0.419896927,1,2783034.31003488,1208624.41266105
165,2,774.8305652,4,0.162182556,0.062808372,0.069764417,0.052051335,0.066609366,2.556152667,2,1.862879435,3,3.70861894,1.883857015,2.68764136,68.76413598,31.23586402,0,0.608253975,0.058412692,0.333333333,1,2783492.9963888,1208281.22452061
166,2,322.2681803,32,0.295735812,0.092073051,0.077073034,0.092072233,0.106331592,2.328519771,2.283231227,2.862129524,2.692813947,3.787224686,2.73804661,2.151518487,16.15275336,78.09978663,5.74746001,0.420104002,0.170298496,0.409597502,1,2783449.32471341,1207717.52756109
167,2,212.1513621,30,0.262928608,0.101448107,0.092541935,0.113200727,0.09860166,3.023269732,2.479064752,3.264964107,2.843887157,3.579916252,2.685097117,2.282502783,38.2138099,56.51616053,5.270029566,0.417546284,0.179673326,0.40278039,1,2779699.96373716,1201927.89243992
169,2,2535.06297,12,0.287024979,0.09959584,0.089691801,0.118066543,0.091029174,3.093312535,3.508346691,3.340695038,3.362756801,3.172676536,3.581661268,2.922161422,32.917476980000004,67.08252302,0,0.357276125,0.292487973,0.350235903,1,2716727.39628342,1172246.45317113
170,2,2088.313055,13,0.241691005,0.101401214,0.089354312,0.128410498,0.086438831,2.980139318,3.588151638,3.382122862,3.379100573,3.494748359,3.561106763,2.778674892,40.83706852,59.16293148,0,0.345602516,0.290796404,0.363601081,1,2716787.75761119,1171717.25439479
171,2,561.7518036,9,0.249073514,0.109147244,0.092034452,0.122262979,0.1131443,1.231732343,2.133460651,2,3.22601864,4.733222746,2.256318347,1.234161855,3.893682677,71.36668928,24.73962805,0.48243019,0.04654601,0.4710238,1,2791642.84103847,1180746.13096022
173,2,1166.211475,12.375,0.230483409,0.062403594,0.074419658,0.070018864,0.04277226,2.935764327,3.171846821,3.135256209,2.909326721,3.870957129,3.37678761,2.929955381,21.25872056,78.74127944,0,0.237224934,0.340131683,0.422643383,1,2766964.42986522,1161479.21173552
178,2,716.9423883,17,0.254614267,0.079229253,0.096782471,0.061430949,0.079474341,2.976429267,2.939058804,2.964293012,3.06868483,3.64939363,3.579075885,2.648004231,17.01558737,75.89507438,7.089338245,0.361619865,0.250678825,0.387701309,1,2767546.17315096,1159904.15446809
180,2,283.1914206,44,0.263248428,0.123704559,0.112396381,0.166673833,0.095684364,2.077694372,2.053276063,2.52150892,2.730570088,3.540378366,2.129269507,1.921657894,3.776371042,93.74896192,2.474667037,0.449493645,0.133019626,0.417486729,1,2768412.80738577,1162496.33377491
181,2,292.4813056,30,0.341148888,0.109010691,0.091741493,0.12765647,0.110591948,1.970187231,2.391922777,2.502395119,2.907391973,3.796338165,2.53923022,1.918825643,19.99081046,75.17438223,4.834807307,0.494055675,0.076037174,0.429907151,1,2769947.27792908,1159905.16071707
182,2,789.6832209,43,0.273249236,0.108863104,0.125649351,0.111006233,0.089933727,2.600329531,2.233610967,3.50095757,2.465664717,3.914873674,2.40408329,2.107293232,10.02569872,85.91727404,4.057027244,0.424628607,0.126933129,0.448438263,1,2768535.22776776,1161947.53598093
183,2,335.5429453,22,0.27483192,0.095137171,0.102683654,0.096086096,0.086641763,1.920376247,2.210254854,2.0514497290000002,2.840156393,3.702585156,2.408568013,1.755928226,12.85644838,75.80706707,11.33648454,0.47381084,0.058885855,0.467303305,1,2770447.07403659,1160672.49020675
184,2,326.3079615,38,0.284601886,0.098413493,0.107886636,0.096351312,0.091002532,2.485999786,2.410720089,2.880335003,2.795833879,3.854828679,2.564148686,2.097546869,8.622258681,90.88045553,0.497285787,0.40262118,0.135909852,0.461468968,1,2770294.24546641,1160650.76748387
186,2,662.9865019,19,0.271819021,0.074710655,0.077173856,0.089439982,0.059571333,1.696558449,2.123414385,2.152853565,2.753078491,4.024922079,2.440285427,2.057215693,23.17294309,73.94122287,2.885834033,0.464100019,0.105196427,0.430703554,1,2771444.21263885,1160455.88306038
188,2,450.2374229,9,0.153671179,0.086399363,0.145322999,0.032395624,0.081479466,3.118449464,3.339868755,3.102259341,3.560176119,3.412442265,3.654437056,2.436032383,73.59152345,25.7253133,0.683163256,0.259824426,0.197351943,0.542823631,1,2764332.85368857,1193404.10926774
189,2,381.2445386,8,0.210256827,0.106112657,0.117502307,0.054313722,0.131062023,1.952343019,2.50773134,2.356381632,3.157862678,3.248966609,2.697638659,1.809542256,15.80360895,84.19639105,0,0.348249147,0.204622293,0.447128559,1,2764333.89666432,1193856.74883827
190,2,38.54107195,21,0.217322604,0.074500776,0.063199468,0.083421091,0.07688177,3.268919287,3.864571377,3.088286749,3.08181183,3.94249877,3.702627645,3.262208244,50.64513677,49.35486323,0,0.235888098,0.355062127,0.409049775,1,2764962.2951356,1194446.56430256
191,2,137.1215915,5,0.200025217,0.071704961,0.131929699,0.049185833,0.053891821,2.273421671,4.731090658,3.189058646,3.568128911,3.496551766,2.92347271,2.047113861,6.541749499,93.4582505,0,0.036965914,0.105341068,0.857693019,1,2764974.92854285,1194414.13220668
